Číslo,Název odrůdy,Návrh názvu,Kód plodiny,Název plodiny,Latinský název plodiny
MAL13262,Cactus,Cactus,4071,Jabloň (plodová),Malus domestica Borkh.
MAL38158,Camelot,Camelot,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33636,Car Alexander,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12950,Carola,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33753,Charlamowski,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13108,Chodské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33635,Citrónové zimní,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL34990,Colanna,Colanna,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33634,Coulonova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00133,Coxova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12961,Croncelské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL10863,Cumulus,Cumulus,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33633,Červené tvrdé,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33632,Červený válec,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17738,Česká pochoutka,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33631,České růžové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12963,Čistecké lahůdkové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33630,Daňkovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL11043,Dark Rubín,Dark Rubín,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12980,Delbarestivale,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01349,Deliga,Deliga,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05692,Dima,Dima,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33629,Doberánská reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01351,Domino,Domino,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00273,Dukát,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13015,Fantazja,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33628,Fénix,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL37836,Festina,Festina,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09794,Flordika,Flordika,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00975,Florina,Florina,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09795,Fragrance,Fragrance,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09796,Frosta,Frosta,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13020,Fuji,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33627,Gascoyneho šarlatové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33762,Gdánský hranáč,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL28844,Ghiva,Ghiva,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03447,Gold Bohemia,Gold Bohemia,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13716,Goldcats,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13609,Goldrush,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03325,Goldstar,Goldstar,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13610,Grahamovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20371,Granát tříblický,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13093,Granny Smith,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13094,Grávštýnské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13095,Grávštýnské červené,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13717,Greencats,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17763,Gustavovo trvanlivé,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33761,Hájkova muškátová reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20369,Hammersteinovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01519,Hana,Hana,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13100,Harbertova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33760,Hawthorndenské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33759,Hedvábné bílé zimní,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33758,Hedvábné červené letní,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33757,Hedvábné pozděkvěté,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL07123,Heliodor,Heliodor,4071,Jabloň (plodová),Malus domestica Borkh.
